                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5378,                 1.1953,                 1.4839,                 1.6406,                 1.2749,                 1.5111,                 0.7842,                0.75125,                0.81936,                0.47816,                 1.5108,                  1.029,                 1.5873,                 1.5843,                0.97259,                 1.5991,               0.009274,               0.009274,               0.009274
                     25,                 1.5299,                 1.1804,                 1.4813,                 1.6305,                 1.2464,                 1.5026,                0.77282,                0.77568,                0.82519,                0.47458,                 1.5025,                 1.0217,                  1.553,                 1.5785,                0.97116,                 1.5784,               0.009241,               0.009241,               0.009241
                     26,                 1.5265,                  1.156,                 1.4718,                  1.616,                 1.2278,                 1.4844,                0.78645,                0.76764,                0.81646,                0.47273,                 1.4827,                0.99542,                 1.5533,                 1.5729,                  0.938,                 1.5804,               0.009208,               0.009208,               0.009208
                     27,                 1.5105,                 1.1522,                 1.4719,                 1.6066,                 1.2172,                 1.4887,                0.79235,                0.75419,                0.82052,                0.48509,                 1.4813,                0.97633,                 1.5638,                 1.5424,                0.91817,                 1.5673,               0.009175,               0.009175,               0.009175
                     28,                 1.5004,                 1.1343,                 1.4592,                 1.5896,                 1.1929,                 1.4716,                0.75959,                0.77939,                0.82266,                0.48306,                 1.4696,                 0.9914,                 1.5402,                 1.5385,                 0.9533,                 1.5555,               0.009142,               0.009142,               0.009142
                     29,                 1.4922,                  1.142,                 1.4604,                 1.5912,                 1.2078,                 1.4707,                0.75507,                0.80644,                0.82263,                0.46876,                 1.4769,                0.99879,                 1.5549,                 1.5843,                0.94953,                 1.5823,               0.009109,               0.009109,               0.009109
                     30,                 1.4758,                 1.1029,                 1.4388,                 1.5783,                 1.1636,                 1.4558,                0.83054,                0.76025,                0.84467,                0.50917,                 1.4466,                 0.9054,                  1.518,                 1.5062,                0.87944,                 1.5229,               0.009076,               0.009076,               0.009076
                     31,                 1.4795,                 1.0986,                 1.4417,                 1.5725,                  1.151,                 1.4573,                0.79847,                0.77055,                0.82908,                0.49834,                 1.4715,                0.95667,                 1.5572,                 1.5425,                0.90209,                   1.56,               0.009043,               0.009043,               0.009043
                     32,                  1.469,                  1.084,                 1.4495,                 1.5633,                 1.1401,                 1.4695,                0.78334,                 0.7749,                0.83285,                 0.4879,                 1.4605,                0.93856,                 1.5398,                 1.5476,                0.87704,                 1.5589,                0.00901,                0.00901,                0.00901
                     33,                 1.4601,                 1.0666,                 1.4207,                  1.561,                 1.1217,                 1.4448,                0.82052,                0.80789,                0.84154,                0.50177,                 1.4282,                0.90299,                 1.5084,                 1.4893,                0.83905,                 1.5219,               0.008977,               0.008977,               0.008977
                     34,                 1.4583,                 1.0682,                 1.4229,                 1.5547,                 1.1249,                 1.4437,                0.79659,                0.81316,                0.85105,                 0.5118,                 1.4394,                0.91395,                 1.5167,                  1.506,                0.85419,                 1.5391,               0.008944,               0.008944,               0.008944
                     35,                 1.4448,                 1.0572,                 1.4198,                 1.5436,                 1.1276,                 1.4391,                0.81416,                0.81939,                0.85197,                0.51172,                 1.4597,                0.89447,                  1.534,                 1.5314,                0.82358,                 1.5519,               0.008911,               0.008911,               0.008911
                     36,                  1.429,                 1.0539,                  1.423,                 1.5244,                 1.0988,                 1.4398,                 0.8378,                0.78513,                0.86028,                0.52483,                 1.4223,                0.90139,                 1.5033,                  1.484,                0.83845,                 1.5273,               0.008878,               0.008878,               0.008878
                     37,                  1.431,                 1.0268,                 1.4104,                 1.5249,                 1.0759,                 1.4251,                0.82737,                0.79188,                0.86876,                0.52283,                 1.4311,                0.84981,                 1.5126,                 1.5085,                0.77684,                 1.5287,               0.008845,               0.008845,               0.008845
                     38,                 1.4331,                 1.0364,                 1.4186,                 1.5329,                   1.09,                 1.4351,                 0.8191,                0.81264,                0.86788,                0.52527,                 1.4082,                0.87302,                 1.5021,                 1.4832,                0.82802,                 1.5345,               0.008812,               0.008812,               0.008812
                     39,                 1.4129,                  1.009,                  1.405,                 1.5051,                 1.0644,                 1.4286,                0.81992,                0.80291,                0.87424,                0.53636,                 1.3951,                0.86074,                   1.49,                 1.4633,                0.79858,                 1.5135,               0.008779,               0.008779,               0.008779
                     40,                 1.4105,                0.99382,                 1.3997,                 1.5035,                 1.0517,                 1.4241,                0.86272,                0.84684,                0.88654,                0.54606,                 1.4156,                0.83097,                 1.4931,                 1.4701,                 0.7648,                  1.507,               0.008746,               0.008746,               0.008746
                     41,                 1.4003,                0.98985,                 1.3925,                  1.491,                 1.0396,                 1.4155,                0.82404,                0.82159,                0.87784,                0.53933,                   1.39,                0.83834,                 1.4726,                 1.4581,                  0.782,                 1.5032,               0.008713,               0.008713,               0.008713
                     42,                  1.401,                0.98629,                 1.3822,                 1.4968,                 1.0392,                 1.4042,                0.82546,                0.82478,                0.87069,                0.53058,                 1.3968,                0.83433,                 1.4762,                 1.4695,                0.78603,                 1.5045,                0.00868,                0.00868,                0.00868
                     43,                 1.3802,                0.95821,                 1.3687,                 1.4686,                 0.9961,                 1.3911,                0.83459,                0.80612,                0.86632,                0.53543,                 1.4021,                0.83579,                 1.4734,                 1.4712,                0.77196,                 1.5041,               0.008647,               0.008647,               0.008647
                     44,                 1.3843,                0.97934,                 1.3807,                 1.4751,                 1.0266,                 1.3977,                0.85788,                0.82429,                0.88259,                0.55068,                 1.3651,                0.83076,                 1.4628,                 1.4269,                 0.7808,                 1.4846,               0.008614,               0.008614,               0.008614
                     45,                 1.3866,                 0.9636,                 1.3766,                 1.4765,                 1.0179,                 1.3935,                0.85512,                0.83762,                 0.8927,                0.56085,                 1.3667,                 0.7881,                 1.4521,                 1.4206,                0.73903,                 1.4674,               0.008581,               0.008581,               0.008581
                     46,                 1.3678,                0.94941,                 1.3668,                 1.4668,                0.99439,                 1.3868,                0.85376,                0.84953,                0.89128,                 0.5592,                 1.3696,                0.78002,                 1.4666,                 1.4307,                0.72004,                 1.4914,               0.008548,               0.008548,               0.008548
                     47,                 1.3775,                0.96752,                 1.3768,                 1.4776,                 1.0028,                 1.4018,                0.85269,                0.85043,                0.89089,                 0.5482,                 1.3688,                 0.8173,                 1.4584,                 1.4385,                0.73469,                 1.4875,               0.008515,               0.008515,               0.008515
                     48,                 1.3717,                0.94834,                 1.3616,                 1.4698,                0.97619,                 1.3891,                0.87459,                0.84474,                0.90013,                0.55651,                 1.3782,                0.78575,                 1.4507,                 1.4537,                0.69755,                 1.4831,               0.008482,               0.008482,               0.008482
                     49,                 1.3591,                0.95267,                 1.3632,                  1.449,                0.99089,                 1.3849,                0.85898,                0.84067,                0.88653,                 0.5497,                  1.372,                0.78603,                 1.4509,                 1.4342,                0.71619,                 1.4847,               0.008449,               0.008449,               0.008449
                     50,                 1.3443,                0.91864,                   1.35,                 1.4444,                0.93572,                 1.3806,                0.85057,                0.84391,                0.89108,                0.56098,                 1.3492,                0.77499,                 1.4322,                  1.406,                 0.7208,                  1.463,               0.008416,               0.008416,               0.008416
                     51,                 1.3434,                0.91538,                 1.3446,                  1.433,                0.95147,                 1.3724,                0.83907,                0.84382,                0.89618,                0.57355,                  1.353,                  0.744,                 1.4331,                 1.4149,                0.69903,                 1.4639,               0.008383,               0.008383,               0.008383
                     52,                  1.341,                0.92038,                  1.343,                 1.4361,                0.96607,                 1.3682,                0.85878,                0.82171,                 0.8883,                0.56595,                 1.3395,                0.76408,                 1.4324,                 1.3942,                0.71674,                 1.4471,                0.00835,                0.00835,                0.00835
                     53,                  1.338,                0.92084,                 1.3479,                 1.4243,                0.97365,                  1.369,                0.87763,                0.81278,                0.89104,                0.57473,                 1.3302,                0.76458,                  1.423,                 1.3828,                0.72561,                 1.4474,               0.008317,               0.008317,               0.008317
                     54,                 1.3414,                0.91705,                 1.3518,                  1.442,                0.95624,                 1.3796,                0.86192,                0.84697,                0.90369,                0.58392,                 1.3302,                0.75529,                 1.4323,                 1.3872,                0.68533,                 1.4569,               0.008284,               0.008284,               0.008284
                     55,                 1.3195,                0.89702,                 1.3359,                 1.4172,                0.92557,                 1.3628,                0.86019,                0.85302,                0.89278,                0.57398,                 1.3294,                0.73201,                 1.4294,                 1.3823,                0.68588,                 1.4477,               0.008251,               0.008251,               0.008251
                     56,                 1.3227,                0.90556,                 1.3398,                 1.4136,                0.93919,                 1.3627,                0.84941,                0.85935,                0.89436,                0.57467,                  1.319,                0.73607,                 1.4243,                   1.36,                0.71054,                 1.4418,               0.008218,               0.008218,               0.008218
                     57,                  1.317,                0.88808,                 1.3383,                 1.4076,                 0.9253,                 1.3657,                0.89048,                0.83243,                0.90461,                0.57193,                 1.3295,                0.72721,                 1.4224,                 1.3832,                0.66808,                 1.4504,               0.008185,               0.008185,               0.008185
                     58,                 1.3075,                0.88952,                 1.3251,                 1.3968,                0.93511,                 1.3513,                0.88561,                0.82476,                0.90208,                0.59238,                 1.3011,                0.73275,                 1.4076,                 1.3429,                0.67756,                 1.4291,               0.008152,               0.008152,               0.008152
                     59,                 1.3133,                0.88086,                 1.3251,                 1.3987,                0.92096,                 1.3473,                0.88783,                0.85047,                0.91014,                0.59122,                 1.3025,                0.71183,                 1.3993,                 1.3747,                0.65763,                 1.4329,               0.008119,               0.008119,               0.008119
                     60,                 1.2958,                0.87433,                 1.3189,                 1.3867,                0.90466,                 1.3447,                0.87291,                0.85639,                0.90833,                0.58647,                 1.3083,                0.70514,                 1.4044,                 1.3674,                0.65102,                 1.4226,               0.008086,               0.008086,               0.008086
                     61,                 1.2932,                0.86263,                 1.3231,                 1.3816,                0.88344,                 1.3462,                 0.8937,                0.83482,                0.90868,                0.58648,                 1.3033,                0.70145,                 1.4073,                 1.3513,                 0.6561,                  1.432,               0.008053,               0.008053,               0.008053
                     62,                 1.2947,                0.86549,                 1.3151,                 1.3889,                0.88321,                 1.3394,                0.89998,                0.83293,                0.90912,                0.58522,                  1.313,                0.70577,                 1.4063,                 1.3546,                0.66276,                 1.4243,                0.00802,                0.00802,                0.00802
